model,cv_accuracy_mean,cv_precision_mean,cv_recall_mean,cv_f1_mean,cv_roc_auc_mean
Logistic Regression,0.7501752423446348,0.5178546106291291,0.8121212121212121,0.6323655241097879,0.8465004003769809
Gradient Boosting,0.8046643617914647,0.6658367011384124,0.5286195286195287,0.5881929666578347,0.8461262337965965
Random Forest,0.7847206421538647,0.6247316067864253,0.47272727272727266,0.5369049173456686,0.8217268635914754
Dummy Classifier,0.7355768895592957,0.0,0.0,0.0,0.5
