,precision,recall,f1-score,support
No churn,0.8982456140350877,0.7434656340755083,0.8135593220338984,1033.0
Churn,0.5181818181818182,0.7661290322580645,0.6182212581344902,372.0
accuracy,0.7494661921708186,0.7494661921708186,0.7494661921708186,0.7494661921708186
macro avg,0.708213716108453,0.7547973331667863,0.7158902900841944,1405.0
weighted avg,0.7976166232468911,0.7494661921708186,0.7618399200619554,1405.0
