model,cv_rmse_mean,cv_rmse_std,cv_mae_mean,cv_r2_mean
Linear Regression,5.887167383776321,1.2423881810044783,3.8602907244655653,0.9913059155937752
Gradient Boosting,6.1268451600536675,3.419581248137904,3.0040507393134375,0.9888400953469956
Random Forest,6.854706528021511,3.8131365406368465,2.3088550911592707,0.9860530344694747
Dummy Regressor,63.711482379037385,2.82846286321897,50.79970637377758,-0.005287993362240684
